Symbol,Company Name,LTP,% Change,Open,High,Low,Quantity,Trend
SALICO,Sagarmatha Lumbini Insurance Co. Limited,617.0,1.48,623.0,612.5,619.0,9781,increase
SANIMA,Sanima Bank Limited,318.0,1.27,320.7,310.0,315.9,125738,increase
SANVI,Sanvi Energy Limited,668.0,1.67,671.0,644.1,656.0,32111,increase
SAPDBL,Saptakoshi Development Bank Ltd,834.9,-1.53,847.6,820.0,831.0,32543,decrease
SARBTM,Sarbottam Cement Limited,913.9,-1.04,925.0,906.0,925.0,39974,decrease
SBCF,Sunrise Bluechip Fund,9.0,0.0,9.18,8.92,9.18,22400,no-change
SBI,Nepal SBI Bank Limited,406.8,1.65,420.2,396.0,404.0,34531,increase
SBID83,10.25% Nepal SBI Bank Debenture 2083,1091.1,-3.02,1102.6,1091.1,1102.6,50,decrease
SBID89,9% Nepal SBI Bank debenture 2089,1175.0,-1.34,1191.0,1191.0,1191.0,5,decrease
SBL,Siddhartha Bank Limited,352.0,2.5,352.3,341.0,341.0,123772,increase
SCB,Standard Chartered Bank Limited,660.0,0.76,661.8,656.0,657.0,59896,increase
SEF,Siddhartha Equity Fund,9.23,3.01,9.26,9.01,9.13,91824,increase
SFCL,Samriddhi Finance Company Limited,396.0,-1.0,405.7,395.0,395.0,12304,decrease
SFEF,Sunrise Focused Equity Fund,9.03,-0.77,9.03,9.01,9.01,900,decrease
SFMF,Sunrise First Mutual Fund,9.8,0.0,9.8,9.75,9.8,30800,no-change
SGHC,Swet-Ganga Hydropower & Construction Limited ,434.0,0.25,439.9,423.0,439.9,85783,increase
SGIC,Sanima GIC Insurance Limited,481.5,-0.08,491.0,472.5,491.0,17126,decrease
SHEL,Singati Hydro Energy Limited,294.3,-0.03,296.7,293.0,294.4,103380,decrease
SHINE,Shine Resunga Development Bank Ltd.,424.0,1.92,424.0,416.3,416.3,66716,increase
SHINED,Shine Resunga Debenture,1160.0,0.0,1160.0,1159.0,1159.9,165,no-change
SHIVM,SHIVAM CEMENTS LTD,593.0,-1.23,603.2,592.0,602.0,169674,decrease
SHL,Soaltee Hotel Limited,495.0,0.41,496.5,490.0,494.0,24097,increase
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1706.1,-0.23,1733.9,1685.2,1685.2,780,decrease
SHPC,Sanima Mai Hydropower Ltd.,533.0,0.76,536.0,518.5,518.5,109833,increase
SICL,Shikhar Insurance Co. Ltd.,670.0,-0.89,680.0,655.0,663.0,6400,decrease
SIFC,Shree Investment Finance Co. Ltd.,506.0,1.2,510.0,498.1,507.0,15172,increase
SIGS2,Siddhartha Investment Growth Scheme - 2,9.31,0.11,9.31,9.31,9.31,300,increase
SIGS3,Siddhartha Investment Growth Scheme 3	,9.22,-1.6,9.3,9.21,9.21,1500,decrease
SIKLES,Sikles Hydropower Limited,669.0,-0.15,679.0,667.5,671.8,55821,decrease
SINDU,Sindhu Bikash Bank Ltd,734.0,2.93,734.0,711.0,719.0,29457,increase
