Symbol,LTP,% Change,Open,High,Low,Quantity
KPCL,553.00,-1.07,561.00,550.30,561.00,"38,828"
KSBBL,444.00,0.91,444.00,434.00,440.00,"20,058"
KSBBLD87,"1,154.60",-1.99,"1,178.10","1,178.10","1,178.10",5
KSY,8.80,-0.11,8.80,8.65,8.65,"1,400"
LBBL,457.00,-1.3,467.00,455.00,465.00,"115,175"
LBBLD89,"1,330.00",2.3,"1,330.00","1,320.00","1,320.00",280
LBLD88,"1,100.00",0,"1,100.00","1,100.00","1,100.00",25
LEC,199.50,1.27,201.90,197.00,200.90,"72,822"
LICN,935.10,-0.96,948.00,930.00,941.10,"50,284"
LLBS,998.00,-1.67,"1,024.00",976.00,"1,024.00",363
LSL,237.90,1.15,240.00,235.20,235.20,"297,987"
LUK,9.28,-0.75,9.35,9.17,9.17,600
LVF2,9.17,3.15,9.30,8.85,8.85,"6,550"
MABEL,670.00,-0.74,677.00,653.10,661.50,"44,648"
MAKAR,568.00,-0.16,573.50,560.00,561.00,"4,190"
MANDU,810.00,0.14,820.00,796.00,802.00,"2,119"
MATRI,951.80,-2.88,980.00,951.80,962.00,860
MBJC,284.20,-0.98,291.90,283.10,291.90,"26,544"
MBL,225.00,2.09,226.00,216.00,224.80,"94,398"
MBLD2085,"1,200.00",-1.64,"1,200.00","1,200.00","1,200.00",100
MBLEF,9.03,-1.31,9.17,8.86,9.00,"3,900"
MCHL,490.00,0.04,494.00,483.00,485.00,"4,960"
MDB,582.10,-0.17,590.00,580.00,581.50,"11,515"
MEHL,442.00,0.48,445.00,427.00,436.00,"25,022"
MEL,296.00,-0.54,300.00,292.00,299.00,"16,582"
MEN,670.10,-0.93,680.00,670.10,680.00,"102,903"
MERO,782.00,-0.39,800.80,776.50,798.00,"12,765"
MFIL,603.00,0.17,613.90,590.00,613.90,"18,968"
MHCL,404.30,-0.64,407.90,401.00,401.00,"9,618"
MHL,519.20,2.16,524.00,509.20,510.10,"50,178"
MHNL,251.30,-1.06,258.00,250.50,250.50,"24,169"
MKCL,"1,408.00",0.5,"1,420.00","1,400.20","1,408.00","5,130"
MKHC,394.00,-2.96,408.70,390.00,397.90,"8,762"
MKHL,822.80,-1.74,854.00,791.10,821.50,"1,358"
MKJC,552.00,2.22,552.00,531.00,531.00,"36,420"
MLBBL,"1,518.60",-0.55,"1,544.00","1,496.50","1,496.50","1,284"
MLBL,387.10,-0.44,392.70,386.10,391.90,"22,342"
MLBS,"1,520.00",1.4,"1,520.00","1,498.00","1,501.00",765
MLBSL,"2,040.00",-0.15,"2,049.00","2,014.10","2,020.00",401
MMF1,8.50,0.35,8.80,8.49,8.63,"76,631"
MMKJL,592.00,-0.84,600.00,586.00,593.00,"8,651"
MNBBL,356.80,-0.06,358.20,354.00,355.00,"26,433"
MND84/85,"1,125.00",1.99,"1,125.00","1,103.00","1,103.00",27
MNMF1,8.81,1.03,8.97,8.68,8.68,"6,930"
MPFL,550.90,-0.74,565.40,546.20,565.40,"5,827"
MSHL,905.00,0.56,906.00,895.10,900.00,333
MSLB,"1,544.90",-4.16,"1,634.00","1,511.00","1,634.00","15,647"
NABBC,945.00,3.73,957.00,892.80,892.80,"42,295"
NABIL,514.90,0.76,517.00,509.00,511.00,"50,106"
NABILD2089,"1,080.00",1.12,"1,080.00","1,069.10","1,069.10",358
NABILD87,"1,131.10",0.1,"1,131.10","1,131.10","1,131.10",25
NADEP,815.00,1.88,820.00,785.00,810.00,"5,024"
NBF2,9.13,-0.65,9.19,9.08,9.19,"1,100"
NBF3,9.00,-1.32,9.20,9.00,9.20,"95,213"
NBL,248.10,0.89,249.50,244.10,246.00,"52,080"
NBLD87,"1,130.00",0.71,"1,130.00","1,120.00","1,120.00",200
NESDO,"1,530.00",0.83,"1,560.60","1,525.00","1,530.00","1,979"
NFS,648.00,-0.31,654.90,644.00,646.30,"13,033"
NGPL,397.60,-1.92,408.00,397.60,407.00,"408,061"
NHDL,715.00,2.14,715.00,686.00,686.00,"9,675"
NHPC,197.80,1.49,206.00,191.50,194.00,"56,534"
NIBD84,"1,127.00",1.94,"1,127.00","1,105.00","1,105.00",321
NIBLGF,8.47,-0.47,8.47,8.30,8.34,"3,500"
NIBLSTF,8.40,1.45,8.49,8.20,8.20,"15,926"
NIBSF2,8.64,3.6,8.64,8.33,8.33,"12,650"
NICA,334.90,2.73,343.10,321.00,328.90,"199,986"
NICAD2091,"1,085.50",2.41,"1,085.50","1,070.00","1,070.00",282
NICBF,8.84,1.96,8.84,8.70,8.70,600
NICFC,8.86,-0.11,9.00,8.85,8.85,"12,900"
NICGF2,8.68,0.7,8.80,8.65,8.65,"4,700"
NICL,526.00,-0.75,530.40,520.00,524.00,"19,053"
NICLBSL,581.00,0,595.00,572.00,572.00,"20,489"
NICSF,8.60,2.87,8.63,8.40,8.50,"16,600"
NIFRA,286.80,0.28,289.00,283.00,286.00,"456,298"
NIFRAGED,"1,033.90",1.92,"1,014.20","1,010.20","1,010.20",77
NIFRAUR85/86,"1,041.00",-1.98,"1,041.00","1,040.80","1,040.80",50
NIL,629.00,3.11,665.00,602.50,610.00,"27,958"
NIMB,202.00,2.02,213.00,198.00,200.00,"213,601"
NIMBPO,164.00,1.86,164.00,162.00,163.80,"12,099"
NLG,710.00,0.14,714.00,706.00,706.00,"18,081"
NLIC,849.70,0.41,857.90,841.10,843.00,"120,741"
NLICL,625.50,0.24,635.00,620.10,620.10,"34,175"
NMB,260.00,3.26,260.00,250.40,255.00,"123,600"
NMB50,10.05,-1.95,10.25,10.00,10.15,"25,100"
NMBD2085,"1,165.00",-1.94,"1,165.00","1,165.00","1,165.00",10
NMBHF2,8.92,0.79,9.10,8.75,8.88,"5,350"
NMBMF,688.90,1.31,692.00,678.40,680.00,981
NMFBS,"1,351.90",0.36,"1,351.90","1,340.00","1,347.00","4,249"
NMIC,"1,296.30",-1.35,"1,317.00","1,292.00","1,301.00","4,742"
NMLBBL,670.00,0.6,677.00,654.10,654.10,"27,865"
NRIC,"1,355.00",-0.73,"1,392.30","1,341.70","1,392.30","83,225"
NRM,433.00,0,435.00,429.20,433.00,"24,881"
NRN,"1,515.20",9.62,"1,520.40","1,409.80","1,409.80","267,998"
NSIF2,10.10,0,10.25,10.05,10.05,"2,300"
NTC,866.00,0.1,871.90,862.00,869.00,"10,215"
NUBL,777.00,0.91,778.00,765.00,766.00,"4,107"
NWCL,839.00,2.44,841.00,815.00,815.00,"3,481"
NYADI,405.00,-0.49,410.00,398.90,398.90,"7,322"
OHL,741.00,2.49,752.00,709.00,709.00,"23,303"
OMPL,"1,247.00",5.77,"1,264.00","1,160.00","1,160.00","38,132"
PBD88,"1,233.00",5.29,"1,233.00","1,173.10","1,173.10",277
PBLD84,"1,125.00",-0.62,"1,130.50","1,125.00","1,130.50",166
PCBL,257.00,1.26,257.80,251.00,255.00,"107,302"
PFL,384.00,-1.03,388.60,380.00,388.00,"11,145"
PHCL,287.00,-1.2,294.00,285.00,294.00,"147,786"
PMHPL,349.00,-1.97,363.10,343.10,363.10,"31,383"
PMLI,525.10,1.18,529.30,512.10,529.30,"40,250"
PPCL,343.00,0,346.00,338.00,346.00,"45,692"
PPL,351.00,-1.93,364.90,348.00,357.00,"250,731"
PRIN,682.20,0.32,690.00,679.00,690.00,"9,834"
PROFL,468.00,0.43,469.90,461.00,466.00,"8,760"
PRSF,10.42,1.56,10.45,10.30,10.45,"107,600"
PRVU,199.80,2.94,200.90,192.00,192.00,"180,485"
PSF,10.40,0.97,10.52,10.32,10.32,"64,370"
PURE,900.00,5.25,902.00,842.00,842.00,"54,309"
